Name,Image URL,Image Name
PREDATOR 19.1,https://www.footballbootsdb.com/logos/boots/268/3.jpg?w=250,Football Shoes Images/1.jpg
X 18.1,https://www.footballbootsdb.com/logos/boots/253/3.jpg?w=250,Football Shoes Images/2.jpg
TIEMPO LEGEND VII,https://www.footballbootsdb.com/logos/boots/213/3.jpg?w=250,Football Shoes Images/3.jpg
MERCURIAL SUPERFLY VI ELITE,https://www.footballbootsdb.com/logos/boots/231/3.jpg?w=250,Football Shoes Images/4.jpg
MERCURIAL VAPOR XII ELITE,https://www.footballbootsdb.com/logos/boots/232/3.jpg?w=250,Football Shoes Images/5.jpg
PHANTOM VNM,https://www.footballbootsdb.com/logos/boots/272/3.jpg?w=250,Football Shoes Images/6.jpg
PHANTOM VSN,https://www.footballbootsdb.com/logos/boots/262/3.jpg?w=250,Football Shoes Images/7.jpg
MAGISTA OPUS II,https://www.footballbootsdb.com/logos/boots/183/3.jpg?w=250,Football Shoes Images/8.jpg
ONE 19.1,https://www.footballbootsdb.com/logos/boots/270/3.jpg?w=250,Football Shoes Images/9.jpg
X 18+,https://www.footballbootsdb.com/logos/boots/252/3.jpg?w=250,Football Shoes Images/10.jpg
NEMEZIZ 18.1,https://www.footballbootsdb.com/logos/boots/254/3.jpg?w=250,Football Shoes Images/11.jpg
MERCURIAL VAPOR XI,https://www.footballbootsdb.com/logos/boots/167/3.jpg?w=250,Football Shoes Images/12.jpg
FUTURE 19.1 NETFIT,https://www.footballbootsdb.com/logos/boots/271/3.jpg?w=250,Football Shoes Images/13.jpg
MORELIA NEO,https://www.footballbootsdb.com/logos/boots/15/3.jpg?w=250,Football Shoes Images/14.jpg
PREDATOR 19+,https://www.footballbootsdb.com/logos/boots/267/3.jpg?w=250,Football Shoes Images/15.jpg
F50 ADIZERO,https://www.footballbootsdb.com/logos/boots/97/3.jpg?w=250,Football Shoes Images/16.jpg
CTR360 MAESTRI,https://www.footballbootsdb.com/logos/boots/45/3.jpg?w=250,Football Shoes Images/17.jpg
X 15.1 LEATHER,https://www.footballbootsdb.com/logos/boots/122/3.jpg?w=250,Football Shoes Images/18.jpg
NEMEZIZ 18+,https://www.footballbootsdb.com/logos/boots/255/3.jpg?w=250,Football Shoes Images/19.jpg
X 17.1 LEATHER,https://www.footballbootsdb.com/logos/boots/211/3.jpg?w=250,Football Shoes Images/20.jpg
HYPERVENOM PHANTOM III,https://www.footballbootsdb.com/logos/boots/196/3.jpg?w=250,Football Shoes Images/21.jpg
MERCURIAL VAPOR X,https://www.footballbootsdb.com/logos/boots/47/3.jpg?w=250,Football Shoes Images/22.jpg
MAGISTA OPUS,https://www.footballbootsdb.com/logos/boots/40/3.jpg?w=250,Football Shoes Images/23.jpg
MERCURIAL VAPOR IX,https://www.footballbootsdb.com/logos/boots/62/3.jpg?w=250,Football Shoes Images/24.jpg
MERCURIAL SUPERFLY V,https://www.footballbootsdb.com/logos/boots/166/3.jpg?w=250,Football Shoes Images/25.jpg
HYPERVENOM,https://www.footballbootsdb.com/logos/boots/6/3.jpg?w=250,Football Shoes Images/26.jpg
MAGISTA OBRA,https://www.footballbootsdb.com/logos/boots/5/3.jpg?w=250,Football Shoes Images/27.jpg
PREDATOR 18.1,https://www.footballbootsdb.com/logos/boots/224/3.jpg?w=250,Football Shoes Images/28.jpg
MAGISTA OBRA II,https://www.footballbootsdb.com/logos/boots/184/3.jpg?w=250,Football Shoes Images/29.jpg
PREDATOR LZ,https://www.footballbootsdb.com/logos/boots/67/3.jpg?w=250,Football Shoes Images/30.jpg
X 17.1,https://www.footballbootsdb.com/logos/boots/208/3.jpg?w=250,Football Shoes Images/31.jpg
X 15.1,https://www.footballbootsdb.com/logos/boots/116/3.jpg?w=250,Football Shoes Images/32.jpg
KING,https://www.footballbootsdb.com/logos/boots/10/3.jpg?w=250,Football Shoes Images/33.jpg
WAVE IGNITUS,https://www.footballbootsdb.com/logos/boots/17/3.jpg?w=250,Football Shoes Images/34.jpg
HYPERVENOM PHANTOM II,https://www.footballbootsdb.com/logos/boots/118/3.jpg?w=250,Football Shoes Images/35.jpg
TIEMPO LEGEND VI,https://www.footballbootsdb.com/logos/boots/148/3.jpg?w=250,Football Shoes Images/36.jpg
HYPERVENOM PHINISH,https://www.footballbootsdb.com/logos/boots/119/3.jpg?w=250,Football Shoes Images/37.jpg
X 17+ PURESPEED,https://www.footballbootsdb.com/logos/boots/209/3.jpg?w=250,Football Shoes Images/38.jpg
HYPERVENOM PHANTOM III DF,https://www.footballbootsdb.com/logos/boots/195/3.jpg?w=250,Football Shoes Images/39.jpg
MAGNETICO PRO,https://www.footballbootsdb.com/logos/boots/233/3.jpg?w=250,Football Shoes Images/40.jpg
ZHERO GRAVITY,https://www.footballbootsdb.com/logos/boots/25/3.jpg?w=250,Football Shoes Images/41.jpg
